Date,rv_true,garch_rv,har_rv
2024-07-02,4.407014567323587e-06,1.1985043557703908e-05,8.63507451543932e-06
2024-07-03,2.0127561025080097e-05,1.1511071972206007e-05,7.829279623928474e-06
2024-07-04,3.011354096831155e-06,1.182773999226789e-05,9.301859480360129e-06
2024-07-05,7.012077624608512e-06,1.1575166170789641e-05,8.25413940362701e-06
2024-07-08,5.430987151936374e-06,1.1436846025204447e-05,8.708594779960859e-06
2024-07-09,2.3814332015835284e-06,1.1063165399543714e-05,8.264188591125798e-06
2024-07-10,1.100514823771438e-06,1.0642295703075645e-05,7.436848769736834e-06
2024-07-11,1.6875784471846013e-05,1.0311784142253203e-05,5.382767717365023e-06
2024-07-12,7.427203050227443e-06,1.0525123007402673e-05,7.506818997226333e-06
2024-07-15,4.929070868697798e-06,1.0703585281710479e-05,6.796635799305089e-06
2024-07-16,3.7060034590722398e-06,1.030710679048439e-05,6.391728331703009e-06
2024-07-17,8.272230144342853e-06,9.904014979196533e-06,6.174258771085241e-06
2024-07-18,6.742564399863372e-06,1.0217355572622263e-05,6.8607903069681695e-06
2024-07-19,2.104506088397951e-06,1.0575628282871026e-05,6.046932159983875e-06
2024-07-22,2.793752367954142e-06,1.0222275169656703e-05,5.373347509701831e-06
2024-07-23,8.542568990409334e-06,9.853695971692446e-06,5.178201620954764e-06
2024-07-24,5.079175450693213e-06,9.944718818088001e-06,5.8190998678745585e-06
2024-07-25,5.328983028558073e-06,9.658006726775813e-06,5.330339451338703e-06
2024-07-26,2.0853182008007804e-06,9.299303775618855e-06,5.156226145492539e-06
2024-07-29,1.3871835069859793e-05,8.982894621891861e-06,4.890449131843254e-06
2024-07-30,4.3121428399411915e-06,9.088507030198007e-06,6.220260840275691e-06
2024-07-31,6.915392088545796e-06,8.749190884034628e-06,5.658651395500342e-06
2024-08-01,1.0354946175481361e-05,8.475780264961037e-06,5.830414558005489e-06
2024-08-02,6.40201013599791e-05,8.706565988540655e-06,6.386753427773921e-06
2024-08-05,4.040854278410526e-05,1.440353048590729e-05,1.1386567555214618e-05
2024-08-06,1.0682964584742045e-05,1.4409859211285864e-05,1.3385844380419509e-05
2024-08-07,2.9252487137570873e-06,1.3943686451368631e-05,1.314382605516981e-05
2024-08-08,1.2289534297070133e-05,1.3341797865075777e-05,1.2356044448329418e-05
2024-08-09,1.600224607985984e-06,1.277254439342923e-05,1.3311303269455813e-05
2024-08-12,2.576923241640091e-06,1.2239652077473526e-05,9.523058975768034e-06
2024-08-13,2.2171209499182994e-05,1.1831486339851011e-05,6.752416454512131e-06
2024-08-14,1.2834921209657336e-05,1.2935300766753566e-05,8.536653711098188e-06
2024-08-15,1.2987604623894526e-05,1.2534855969861127e-05,9.277173501643385e-06
2024-08-16,1.048334532632942e-05,1.2649791377350961e-05,9.488790755432269e-06
2024-08-19,1.2242592446701681e-05,1.3350651704956272e-05,1.008245888803147e-05
2024-08-20,9.88087602571111e-06,1.4105872951347747e-05,1.0865385938965951e-05
2024-08-21,1.6756299627239578e-05,1.4262933723514961e-05,1.0109382527961105e-05
2024-08-22,1.291234243955618e-05,1.3833373544060654e-05,1.0812565417007521e-05
2024-08-23,2.6335980258137853e-05,1.3830056096762369e-05,1.0784877691658764e-05
2024-08-26,7.719384758539028e-06,1.582755996489449e-05,1.2516843536267116e-05
2024-08-27,4.718320424886905e-06,1.549426162936495e-05,1.1753372364774075e-05
2024-08-28,1.8539684562330555e-05,1.5017938126093766e-05,1.1261377694390982e-05
2024-08-29,2.0715135747821693e-05,1.5940974303199558e-05,1.2005978338283329e-05
2024-08-30,7.777522314044314e-06,1.586450140847807e-05,1.2867986559441202e-05
2024-09-02,3.695510061717059e-06,1.5479052132450495e-05,1.1150799251204592e-05
2024-09-03,6.3332688280416605e-06,1.5012332883466344e-05,1.0469064168730887e-05
2024-09-04,9.569230118098341e-06,1.4629103976037493e-05,9.896615767778938e-06
2024-09-05,5.905064400842384e-06,1.4557138588880941e-05,8.869647753041864e-06
2024-09-06,2.3567537041639197e-05,1.4263170464794687e-05,7.440578734177969e-06
2024-09-09,9.610042547516411e-06,1.387619701785583e-05,9.490519381200939e-06
2024-09-10,3.5683680623322906e-06,1.4254563890754507e-05,9.595359511853681e-06
2024-09-11,8.330715822689636e-06,1.3738027149203463e-05,9.113234245201773e-06
2024-09-12,1.454315485703387e-05,1.316742858369358e-05,9.383430697026156e-06
2024-09-13,2.893768947012025e-06,1.396680373390796e-05,1.0060952601892384e-05
2024-09-16,1.1681070277395103e-05,1.3379154987875583e-05,7.859687767615726e-06
2024-09-17,3.62933076450039e-06,1.4126302386047423e-05,8.400697072893276e-06
2024-09-18,2.4803100756862786e-05,1.3668279396249248e-05,7.972989512636477e-06
2024-09-19,3.546639954781351e-05,1.3107727429128103e-05,1.000098282849513e-05
2024-09-20,6.076351262728348e-06,1.3318421912306628e-05,1.2004959512934905e-05
2024-09-23,2.0612846228866587e-05,1.2767946968269172e-05,1.1282711771445216e-05
2024-09-24,1.7227716572298836e-05,1.3196491574306345e-05,1.2433482369221438e-05
2024-09-25,2.4481039873229584e-05,1.4418046908962739e-05,1.2884211343562533e-05
2024-09-26,1.1831593369086634e-05,1.4654571646407657e-05,1.3390662868991978e-05
2024-09-27,1.769858854042285e-05,1.4741244608258406e-05,1.1888722090066952e-05
2024-09-30,2.6187502200643743e-05,1.4193205043440844e-05,1.2721154000950734e-05
2024-10-01,2.8430794017506422e-05,1.3798759692657058e-05,1.3319926853191223e-05
2024-10-02,7.434315693249413e-06,1.482417162709219e-05,1.4401073959000252e-05
2024-10-03,4.936584751022244e-06,1.4340397303398627e-05,1.2897670009918144e-05
2024-10-04,2.352764362961458e-05,1.3865218196918679e-05,1.2293656347063648e-05
2024-10-07,3.1462406961996993e-06,1.430322393861993e-05,1.3589916575558936e-05
2024-10-08,3.899847974699287e-06,1.369855219726019e-05,1.1208943155948686e-05
2024-10-09,5.974902166396771e-06,1.3145875056256282e-05,9.130913322151575e-06
2024-10-10,9.204677191181795e-06,1.3188259613973267e-05,9.086617984798232e-06
2024-10-11,4.56537427599604e-06,1.2649379487813996e-05,9.678263810706912e-06
2024-10-14,7.303080761877075e-06,1.2136094267537456e-05,7.553103251552492e-06
2024-10-15,3.805295419010209e-06,1.1910288904658553e-05,8.053171155855384e-06
2024-10-16,7.29053490515896e-06,1.1526982144615835e-05,7.876253597778067e-06
2024-10-17,1.1948334614479764e-05,1.1391417848627913e-05,8.137575713449995e-06
2024-10-18,6.125472156067608e-06,1.1307940906255373e-05,8.665898448417966e-06
2024-10-21,1.1307941498252502e-05,1.1432871644433936e-05,8.377822101366328e-06
2024-10-22,6.384423925271223e-06,1.2103836002435888e-05,8.576470245223527e-06
2024-10-23,6.6497096265894325e-06,1.1692643868757196e-05,8.629305209519492e-06
2024-10-24,1.0837690712086611e-05,1.1295873808726022e-05,8.377832040576275e-06
2024-10-25,6.7533994292598764e-06,1.1664134266230924e-05,8.328345552015914e-06
2024-10-28,6.396602670882438e-06,1.1615690983157441e-05,7.964951989269849e-06
2024-10-29,1.022920929917889e-05,1.1312732477757933e-05,7.472478883338124e-06
2024-10-30,1.2339599954361038e-05,1.0867531949364858e-05,7.782362010498961e-06
2024-10-31,5.88753289241097e-06,1.1133238246783826e-05,8.01014417749746e-06
2024-11-01,1.658782932966039e-05,1.0984079813742985e-05,7.060328499758019e-06
2024-11-04,6.1841714083032595e-06,1.1503655996431526e-05,8.16367486302861e-06
2024-11-05,1.2464457215543044e-05,1.18938722362395e-05,7.903069299170644e-06
2024-11-06,0.00019934110702954299,1.248158863878674e-05,8.010725541905316e-06
2024-11-07,3.8879415822329225e-05,2.748847009868788e-05,2.2915887846082993e-05
2024-11-08,4.357024862891905e-05,2.8530120419914227e-05,2.3790995836577003e-05
2024-11-11,3.1193775519817876e-05,3.0215013966955093e-05,2.5840822198224265e-05
2024-11-12,1.493889535199546e-05,3.028592918734159e-05,2.698201406389216e-05
2024-11-13,3.093406959752326e-05,2.9019862792390133e-05,2.665740600557578e-05
2024-11-14,2.4354145349876064e-05,2.9088727288145567e-05,2.082369120110523e-05
