Date,y,rw,arima,ets,lstm
2024-07-08,1.0823,1.08388,1.0581104167644726,1.040007124331556,1.0833485651731491
2024-07-09,1.0814300000000001,1.0823,1.0581104167644726,1.0399098800816315,1.0824727580666542
2024-07-10,1.08287,1.0814300000000001,1.0581104167644726,1.039812635831707,1.0813387271165849
2024-07-11,1.08668,1.08287,1.0581104167644726,1.0397153915817827,1.0826721723896264
2024-07-12,1.09044,1.08668,1.0581104167644726,1.0396181473318582,1.0863924807524683
2024-07-15,1.08947,1.09044,1.0581104167644726,1.039520903081934,1.0899253023076059
2024-07-16,1.08983,1.08947,1.0581104167644726,1.0394236588320094,1.0893001235723494
2024-07-17,1.09391,1.08983,1.0581104167644726,1.039326414582085,1.0897074224990606
2024-07-18,1.08951,1.09391,1.0581104167644726,1.0392291703321606,1.093683618249893
2024-07-19,1.08813,1.08951,1.0581104167644726,1.039131926082236,1.0893295970785617
2024-07-22,1.08901,1.08813,1.0581104167644726,1.0390346818323117,1.0879830326735973
2024-07-23,1.0855299999999999,1.08901,1.0581104167644726,1.0389374375823872,1.0888864761668444
2024-07-24,1.08385,1.0855299999999999,1.0581104167644726,1.038840193332463,1.0851855231976508
2024-07-25,1.08449,1.08385,1.0581104167644726,1.0387429490825384,1.0836093557089568
2024-07-26,1.08548,1.08449,1.0581104167644726,1.038645704832614,1.0843876738649607
2024-07-29,1.08213,1.08548,1.0581104167644726,1.0385484605826896,1.0854572257232666
2024-07-30,1.08141,1.08213,1.0581104167644726,1.038451216332765,1.0818086611282827
2024-07-31,1.08258,1.08141,1.0581104167644726,1.0383539720828407,1.0812977158033847
2024-08-01,1.07891,1.08258,1.0581104167644726,1.0382567278329162,1.0826134248805046
2024-08-02,1.09103,1.07891,1.0581104167644726,1.038159483582992,1.0785684599608183
2024-08-05,1.09495,1.09103,1.0581104167644726,1.0380622393330674,1.0911054353284835
2024-08-06,1.09276,1.09495,1.0581104167644726,1.037964995083143,1.094711981806159
2024-08-07,1.09212,1.09276,1.0581104167644726,1.0378677508332186,1.0926565027546882
2024-08-08,1.09178,1.09212,1.0581104167644726,1.037770506583294,1.0921179820418359
2024-08-09,1.0915300000000001,1.09178,1.0581104167644726,1.0376732623333698,1.0917494797503948
2024-08-12,1.093,1.0915300000000001,1.0581104167644726,1.0375760180834452,1.0914545951610806
2024-08-13,1.09933,1.093,1.0581104167644726,1.037478773833521,1.0929140699505806
2024-08-14,1.10118,1.09933,1.0581104167644726,1.0373815295835964,1.098972035973668
2024-08-15,1.09707,1.10118,1.0581104167644726,1.0372842853336721,1.1009135201025009
2024-08-16,1.10264,1.09707,1.0581104167644726,1.0371870410837476,1.0969413115596771
2024-08-19,1.10844,1.10264,1.0581104167644726,1.037089796833823,1.1022616357660293
2024-08-20,1.11286,1.10844,1.0581104167644726,1.0369925525838988,1.1080256204223633
2024-08-21,1.11506,1.11286,1.0581104167644726,1.0368953083339743,1.1124915278232097
2024-08-22,1.11107,1.11506,1.0581104167644726,1.03679806408405,1.1148361534404754
2024-08-23,1.11928,1.11107,1.0581104167644726,1.0367008198341254,1.110987748633623
2024-08-26,1.11606,1.11928,1.0581104167644726,1.0366035755842011,1.119128358426094
2024-08-27,1.11841,1.11606,1.0581104167644726,1.0365063313342766,1.1158558428776264
2024-08-28,1.11191,1.11841,1.0581104167644726,1.036409087084352,1.1183690692675112
2024-08-29,1.10777,1.11191,1.0581104167644726,1.0363118428344278,1.1114375255209208
2024-08-30,1.10479,1.10777,1.0581104167644726,1.0362145985845033,1.1072297569620608
2024-09-02,1.10712,1.10479,1.0581104167644726,1.036117354334579,1.104216243587136
2024-09-03,1.10438,1.10712,1.0581104167644726,1.0360201100846544,1.1071558982849121
2024-09-04,1.10815,1.10438,1.0581104167644726,1.0359228658347301,1.1040281590807437
2024-09-05,1.11106,1.10815,1.0581104167644726,1.0358256215848056,1.1084009933710097
2024-09-06,1.10857,1.11106,1.0581104167644726,1.0357283773348813,1.1113116524791717
2024-09-09,1.10345,1.10857,1.0581104167644726,1.0356311330849568,1.1084486185330154
2024-09-10,1.10183,1.10345,1.0581104167644726,1.0355338888350323,1.1029799364835025
2024-09-11,1.1013600000000001,1.10183,1.0581104167644726,1.035436644585108,1.101641318064332
2024-09-12,1.10726,1.1013600000000001,1.0581104167644726,1.0353394003351835,1.101303084769249
2024-09-13,1.1074,1.10726,1.0581104167644726,1.0352421560852592,1.1076253640365599
2024-09-16,1.11325,1.1074,1.0581104167644726,1.0351449118353346,1.1073390102863312
2024-09-17,1.11125,1.11325,1.0581104167644726,1.0350476675854101,1.1134416328668595
2024-09-18,1.11172,1.11125,1.0581104167644726,1.0349504233354858,1.1109752544760705
2024-09-19,1.1161699999999999,1.11172,1.0581104167644726,1.0348531790855613,1.111575412659645
2024-09-20,1.11625,1.1161699999999999,1.0581104167644726,1.034755934835637,1.1158676260751486
2024-09-23,1.11112,1.11625,1.0581104167644726,1.0346586905857125,1.116008016988635
2024-09-24,1.11798,1.11112,1.0581104167644726,1.0345614463357882,1.1108428361845017
2024-09-25,1.11313,1.11798,1.0581104167644726,1.0344642020858636,1.1173014374577999
2024-09-26,1.11746,1.11313,1.0581104167644726,1.0343669578359393,1.1130597377663851
2024-09-27,1.11588,1.11746,1.0581104167644726,1.0342697135860148,1.1170279281342028
2024-09-30,1.11346,1.11588,1.0581104167644726,1.0341724693360903,1.1157622744131088
2024-10-01,1.10683,1.11346,1.0581104167644726,1.034075225086166,1.1133016474127768
2024-10-02,1.10474,1.10683,1.0581104167644726,1.0339779808362415,1.106239812618494
2024-10-03,1.10279,1.10474,1.0581104167644726,1.0338807365863172,1.1043914684665204
2024-10-04,1.09752,1.10279,1.0581104167644726,1.0337834923363927,1.102457727741599
2024-10-07,1.09737,1.09752,1.0581104167644726,1.0336862480864684,1.0969449166059495
2024-10-08,1.09796,1.09737,1.0581104167644726,1.0335890038365438,1.0973709157168865
2024-10-09,1.09396,1.09796,1.0581104167644726,1.0334917595866193,1.0981569849824906
2024-10-10,1.09359,1.09396,1.0581104167644726,1.033394515336695,1.0937474965882301
2024-10-11,1.09348,1.09359,1.0581104167644726,1.0332972710867705,1.0938327416539193
2024-10-14,1.09078,1.09348,1.0581104167644726,1.0332000268368462,1.0937968880796431
2024-10-15,1.08913,1.09078,1.0581104167644726,1.0331027825869217,1.0907629009091855
2024-10-16,1.08616,1.08913,1.0581104167644726,1.0330055383369974,1.0891468784737586
2024-10-17,1.083,1.08616,1.0581104167644726,1.0329082940870729,1.0861006332540513
2024-10-18,1.08671,1.083,1.0581104167644726,1.0328110498371483,1.082863085567951
2024-10-21,1.0812599999999999,1.08671,1.0581104167644726,1.032713805587224,1.0866848680901529
2024-10-22,1.07977,1.0812599999999999,1.0581104167644726,1.0326165613372995,1.0813604101681709
2024-10-23,1.07834,1.07977,1.0581104167644726,1.0325193170873752,1.079850835289955
2024-10-24,1.08277,1.07834,1.0581104167644726,1.0324220728374507,1.0783372362148762
2024-10-25,1.07942,1.08277,1.0581104167644726,1.0323248285875264,1.0820280697584153
2024-10-28,1.08132,1.07942,1.0581104167644726,1.0322275843376019,1.0796689897847176
2024-10-29,1.0814300000000001,1.08132,1.0581104167644726,1.0321303400876773,1.08102448898077
2024-10-30,1.08551,1.0814300000000001,1.0581104167644726,1.032033095837753,1.081451142306328
2024-10-31,1.08813,1.08551,1.0581104167644726,1.0319358515878285,1.084675804360509
2024-11-01,1.08312,1.08813,1.0581104167644726,1.0318386073379042,1.087585260999799
2024-11-04,1.08768,1.08312,1.0581104167644726,1.0317413630879797,1.0835333066082002
2024-11-05,1.09284,1.08768,1.0581104167644726,1.0316441188380554,1.087069229221344
2024-11-06,1.07286,1.09284,1.0581104167644726,1.0315468745881309,1.0921585226869583
2024-11-07,1.08017,1.07286,1.0581104167644726,1.0314496303382064,1.0724680021977424
2024-11-08,1.07174,1.08017,1.0581104167644726,1.031352386088282,1.0795480587792396
2024-11-11,1.06555,1.07174,1.0581104167644726,1.0312551418383575,1.0712506100952623
2024-11-12,1.06239,1.06555,1.0581104167644726,1.0311578975884332,1.0650256471633912
2024-11-13,1.05635,1.06239,1.0581104167644726,1.0310606533385087,1.0622717119288443
2024-11-14,1.05286,1.05635,1.0581104167644726,1.0309634090885844,1.0560403461635113
2024-11-15,1.05332,1.05286,1.0581104167644726,1.03086616483866,1.0531418970155715
